feature,coefficient,importance
beautiful playsuit,0.2305648771725209,0.2305648771725209
outstanding stitching,0.2305648771725209,0.2305648771725209
absolutely satisfied,0.23000383779793016,0.23000383779793016
absolutely,0.23000383779793016,0.23000383779793016
purchase quality,0.23000383779793016,0.23000383779793016
satisfied purchase,0.23000383779793016,0.23000383779793016
quality great,0.23000383779793016,0.23000383779793016
stylish wash,0.22965717036425398,0.22965717036425398
quality polo,0.22965717036425398,0.22965717036425398
best quality,0.22965717036425398,0.22965717036425398
look clean,0.22965717036425398,0.22965717036425398
clean stylish,0.22965717036425398,0.22965717036425398
wash look,-0.22964964693667914,0.22964964693667914
sweatpants pilled,-0.22964964693667914,0.22964964693667914
look awful,-0.22964964693667914,0.22964964693667914
terrible sweatpants,-0.22964964693667914,0.22964964693667914
pilled one,-0.22964964693667914,0.22964964693667914
pilled,-0.22964964693667914,0.22964964693667914
durability washed,0.2283953736748571,0.2283953736748571
new,0.2283953736748571,0.2283953736748571
still look,0.2283953736748571,0.2283953736748571
still,0.2283953736748571,0.2283953736748571
great durability,0.2283953736748571,0.2283953736748571
look new,0.2283953736748571,0.2283953736748571
washed,0.2283953736748571,0.2283953736748571
time still,0.2283953736748571,0.2283953736748571
time,0.2283953736748571,0.2283953736748571
multiple,0.2283953736748571,0.2283953736748571
multiple time,0.2283953736748571,0.2283953736748571
washed multiple,0.2283953736748571,0.2283953736748571
winter coat,-0.22782410297257527,0.22782410297257527
thin warm,-0.22782410297257527,0.22782410297257527
coat,-0.22782410297257527,0.22782410297257527
awful winter,-0.22782410297257527,0.22782410297257527
warm look,-0.22782410297257527,0.22782410297257527
coat thin,-0.22782410297257527,0.22782410297257527
scratchy feel,-0.22521235542416798,0.22521235542416798
rough scratchy,-0.22521235542416798,0.22521235542416798
texture rough,-0.22521235542416798,0.22521235542416798
disappointed texture,-0.22521235542416798,0.22521235542416798
design ever,-0.22024288987859764,0.22024288987859764
worst design,-0.22024288987859764,0.22024288987859764
material smell,-0.22024288987859764,0.22024288987859764
ever scratchy,-0.22024288987859764,0.22024288987859764
scratchy material,-0.22024288987859764,0.22024288987859764
smell bad,-0.22024288987859764,0.22024288987859764
poor sole,-0.21955236069470638,0.21955236069470638
support heavy,-0.21955236069470638,0.21955236069470638
sole support,-0.21955236069470638,0.21955236069470638
quality running,-0.21955236069470638,0.21955236069470638
shoe poor,-0.21955236069470638,0.21955236069470638
cheap looking,-0.21621452438656555,0.21621452438656555
looking,-0.21621452438656555,0.21621452438656555
looking trouser,-0.21621452438656555,0.21621452438656555
bad fitting,-0.21621452438656555,0.21621452438656555
fitting faded,-0.21621452438656555,0.21621452438656555
trouser bad,-0.21621452438656555,0.21621452438656555
service,-0.2161282609512478,0.2161282609512478
quality product,-0.2161282609512478,0.2161282609512478
cheap quality,-0.2161282609512478,0.2161282609512478
terrible service,-0.2161282609512478,0.2161282609512478
service cheap,-0.2161282609512478,0.2161282609512478
flimsy stitch,-0.2132831011863907,0.2132831011863907
stitch shrank,-0.2132831011863907,0.2132831011863907
horrible fabric,-0.2132831011863907,0.2132831011863907
quality flimsy,-0.2132831011863907,0.2132831011863907
shrank wash,-0.2132831011863907,0.2132831011863907
fabric quality,-0.2132831011863907,0.2132831011863907
horrible fit,-0.21294022825969391,0.21294022825969391
sleeve,-0.21294022825969391,0.21294022825969391
sleeve loose,-0.21294022825969391,0.21294022825969391
fit sleeve,-0.21294022825969391,0.21294022825969391
